菜品名称,有效匹配食材数,总重量(g),参与计算的成分明细,能量(kJ),蛋白质(g),脂肪(g),碳水化合物(g),膳食纤维(g),维生素C(mg),钙(mg),钠(mg)
金枪鱼沙拉,10,426.0,金枪鱼(盐水浸):25.0g | 生菜(牛俐)[油麦菜]:20.0g | 沙果:250.0g | 黄瓜[胡瓜](鲜):25.0g | 柿:25.0g | 洋葱[葱头](鲜):25.0g | 毛蛋:50.0g | 白醋:2.0g | 胡椒粉:2.0g | 油（橄榄油):2.0g,1469.61,15.02,9.26,54.38,0.0,23.25,145.31,146.29
布里欧修,19,1009.5,藕粉:50.0g | 烧饼(加糖):5.0g | 盐水鸭(熟):5.0g | 水面筋:80.0g | 中华猕猴桃[毛叶猕猴桃]:10.0g | 藕粉:250.0g | 香肠:10.0g | 酵母(鲜):2.0g | 乳品（奶油）:40.0g | 牛奶(草莓味，卡夫牌):120.0g | 藕粉:250.0g | 全脂加糖奶粉:25.0g | 奶糖:50.0g | 盐水鸭(熟):2.5g | 酵母(鲜):6.0g | 蛋（鸡蛋，均值):2.0g | 牛奶(草莓味，卡夫牌):60.0g | 油（椰子油):40.0g | 葡萄干:2.0g,14567.43,36.57,99.77,603.93,0.0,6.3,409.83,809.45
咖啡曲奇,8,375.0,黄油:100.0g | 小麦粉(标准粉):65.0g | 藕粉:120.0g | 可可粉:16.0g | 咖啡粉:4.0g | 玉米淀粉:50.0g | 杏:10.0g | 豆粕:10.0g,7693.86,17.69,100.61,218.38,0.0,0.4,108.03,71.41
肥牛汤,9,273.0,牛蒡叶(鲜):150.0g | 番茄[西红柿]:50.0g | 金针菇[智力菇](鲜):1.0g | 烧饼(加糖):5.0g | 盐水鸭(熟):6.0g | 油面筋:15.0g | 生抽:30.0g | 番茄酱:15.0g | 细香葱[香葱，四季葱]:1.0g,837.9,15.16,6.8,21.68,0.0,47.16,385.04,2024.52
水晶饺,9,960.0,西葫芦:10.0g | 杏鲍菇:10.0g | 香菇片:8.0g | 籼米:10.0g | 胡椒粉:2.0g | 盐水鸭(熟):10.0g | 油面筋:10.0g | 藕粉:500.0g | 水面筋:400.0g,10988.58,101.29,6.7,534.02,2.25,0.76,352.9,461.8
香肠菜饭,6,151.0,香大米:30.0g | 香肠:2.0g | 鸡毛菜:100.0g | 盐水鸭(熟):15.0g | 油（菜籽油)[青油]:2.0g | 水面筋:2.0g,844.02,9.95,7.2,25.21,2.1,24.0,83.88,349.4
酸奶蛋糕,8,140.0,奶片:10.0g | 毛蛋:10.0g | 橙:25.0g | 烧饼(加糖):10.0g | 粳米(标一):10.0g | 藕粉:40.0g | 香蕉[甘蕉]:25.0g | 葡萄干:10.0g,1472.9,5.2,3.75,73.76,0.0,11.25,68.65,38.77
红薯饼,5,10.0,甘薯(红心)[山芋，红薯]:2.0g | 小麦粉(标准粉):2.0g | 玉米淀粉:2.0g | 水面筋:2.0g | 油饼:2.0g,113.32,0.9,0.5,4.76,0.0,0.52,3.88,12.51
烤鸡翅,10,561.0,鸡翅:400.0g | 生抽:30.0g | 料酒:15.0g | 老抽:30.0g | 油面筋:15.0g | 细香葱[香葱，四季葱]:1.0g | 玉兰片:10.0g | 料酒:30.0g | 藕粉:15.0g | 五香粉:15.0g,4239.31,78.05,52.33,58.48,0.0,0.24,88.64,4323.54
巧克力奶,4,313.0,藕粉:200.0g | 牛奶(巧克力味，卡夫牌):100.0g | 糖（绵白糖）:8.0g | 炼乳(甜，罐头):5.0g,3708.64,3.61,3.64,206.68,0.0,0.1,109.58,63.75
